force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
4,4,1,4,1,4,full-stencil2d-outer:machsuite-md-knn-3-3-0-3-0-3,4.0,2.92,10688,10688,390,1184,199899,122058
2,2,4,2,4,2,full-stencil2d-outer:machsuite-md-knn-1-1-3-1-3-1,4.0,2.92,10430,10430,1284,2368,445663,246726
1,4,2,2,1,4,full-stencil2d-outer:machsuite-md-knn-0-3-1-1-0-3,4.0,2.92,11198,11198,372,592,114983,66911
1,1,4,4,1,8,full-stencil2d-outer:machsuite-md-knn-0-0-3-3-0-7,4.0,2.92,10688,10688,498,1184,199873,123637
4,2,2,4,4,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-3-0,4.0,2.92,10430,10430,1284,2368,445600,246537
4,1,4,1,1,2,full-stencil2d-outer:machsuite-md-knn-3-0-3-0-0-1,4.0,2.92,12218,12218,372,296,72267,37725
4,4,4,4,2,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-1-1,4.0,2.92,10432,10432,816,2368,395117,243767
4,4,4,2,4,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-1-3-1,4.0,2.92,10430,10430,1284,2368,445614,246531
2,1,2,2,1,4,full-stencil2d-outer:machsuite-md-knn-1-0-1-1-0-3,4.0,2.92,11198,11198,360,592,114893,66642
1,2,1,4,2,4,full-stencil2d-outer:machsuite-md-knn-0-1-0-3-1-3,4.0,2.92,10686,10686,648,1184,225175,125929
1,1,4,2,2,1,full-stencil2d-outer:machsuite-md-knn-0-0-3-1-1-0,4.0,2.92,10686,10686,696,1184,225174,128293
1,2,1,1,2,1,full-stencil2d-outer:machsuite-md-knn-0-1-0-0-1-0,4.0,3.173,12210,12210,569,296,96804,40243
4,4,4,4,4,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-3-1,4.0,2.92,10304,10304,1380,4736,785211,471843
4,2,1,2,1,1,full-stencil2d-outer:machsuite-md-knn-3-1-0-1-0-0,4.0,2.92,11198,11198,378,592,114901,65927
4,1,2,4,2,8,full-stencil2d-outer:machsuite-md-knn-3-0-1-3-1-7,4.0,2.92,10432,10432,708,2368,395017,238521
4,1,4,4,1,4,full-stencil2d-outer:machsuite-md-knn-3-0-3-3-0-3,4.0,2.92,10688,10688,516,1184,199873,123823
4,2,4,4,4,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-3-1,4.0,2.92,10304,10304,1380,4736,785190,471862
1,1,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-0-0-3-0-1-1,4.0,2.92,11194,11194,648,592,140036,69655
1,4,2,4,2,1,full-stencil2d-outer:machsuite-md-knn-0-3-1-3-1-0,4.0,2.92,10432,10432,708,2368,395041,238857
4,1,4,4,2,1,full-stencil2d-outer:machsuite-md-knn-3-0-3-3-1-0,4.0,2.92,10432,10432,804,2368,395018,243125
4,2,2,4,1,8,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-0-7,4.0,2.92,10688,10688,426,1184,199951,124180
1,4,1,2,1,1,full-stencil2d-outer:machsuite-md-knn-0-3-0-1-0-0,4.0,2.92,11198,11198,372,592,114910,65591
1,1,1,4,2,2,full-stencil2d-outer:machsuite-md-knn-0-0-0-3-1-1,4.0,2.92,10686,10686,648,1184,225106,125645
1,2,2,2,1,1,full-stencil2d-outer:machsuite-md-knn-0-1-1-1-0-0,4.0,2.92,11198,11198,360,592,114962,67061
2,4,1,2,1,4,full-stencil2d-outer:machsuite-md-knn-1-3-0-1-0-3,4.0,2.92,11198,11198,378,592,114920,65825
4,4,4,4,1,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-0-1,4.0,2.92,10688,10688,534,1184,199972,124146
4,2,1,4,1,8,full-stencil2d-outer:machsuite-md-knn-3-1-0-3-0-7,4.0,2.92,10688,10688,378,1184,199879,122208
4,1,2,4,1,4,full-stencil2d-outer:machsuite-md-knn-3-0-1-3-0-3,4.0,2.92,10688,10688,420,1184,199873,123707
2,1,1,4,2,2,full-stencil2d-outer:machsuite-md-knn-1-0-0-3-1-1,4.0,2.92,10686,10686,648,1184,225035,125751
4,1,4,2,1,2,full-stencil2d-outer:machsuite-md-knn-3-0-3-1-0-1,4.0,2.92,11198,11198,420,592,114895,66934
4,4,4,1,4,1,full-stencil2d-outer:machsuite-md-knn-3-3-3-0-3-0,4.0,2.92,10682,10682,1236,1184,275456,131651
2,4,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-1-3-3-1-0-3,4.0,2.92,11198,11198,426,592,114993,67305
2,4,1,4,2,1,full-stencil2d-outer:machsuite-md-knn-1-3-0-3-1-0,4.0,2.92,10686,10686,660,1184,225134,126419
2,2,2,1,2,2,full-stencil2d-outer:machsuite-md-knn-1-1-1-0-1-1,4.0,2.92,11194,11194,648,592,140040,68617
2,1,2,1,1,1,full-stencil2d-outer:machsuite-md-knn-1-0-1-0-0-0,4.0,2.92,12218,12218,360,296,72265,37429
4,1,1,1,1,2,full-stencil2d-outer:machsuite-md-knn-3-0-0-0-0-1,4.0,2.92,12218,12218,369,296,72158,36661
4,1,1,4,1,8,full-stencil2d-outer:machsuite-md-knn-3-0-0-3-0-7,4.0,2.92,10688,10688,372,1184,199800,121735
2,4,4,4,4,1,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-3-0,4.0,2.92,10304,10304,1380,4736,785282,472026
1,2,1,4,2,2,full-stencil2d-outer:machsuite-md-knn-0-1-0-3-1-1,4.0,2.92,10686,10686,648,1184,225175,125929
4,2,2,1,1,2,full-stencil2d-outer:machsuite-md-knn-3-1-1-0-0-1,4.0,2.92,12218,12218,378,296,72345,37854
1,1,2,2,1,4,full-stencil2d-outer:machsuite-md-knn-0-0-1-1-0-3,4.0,2.92,11198,11198,354,592,114893,66408
2,2,4,1,1,2,full-stencil2d-outer:machsuite-md-knn-1-1-3-0-0-1,4.0,2.92,12218,12218,366,296,72700,38566
2,4,2,1,2,2,full-stencil2d-outer:machsuite-md-knn-1-3-1-0-1-1,4.0,2.92,11194,11194,660,592,140063,69001
4,1,1,4,1,1,full-stencil2d-outer:machsuite-md-knn-3-0-0-3-0-0,4.0,2.92,10688,10688,372,1184,199800,121735
2,4,2,2,4,1,full-stencil2d-outer:machsuite-md-knn-1-3-1-1-3-0,4.0,2.92,10682,10682,1236,1184,275602,131784
2,1,1,4,1,8,full-stencil2d-outer:machsuite-md-knn-1-0-0-3-0-7,4.0,2.92,10688,10688,360,1184,199799,121783
4,1,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-3-0-3-0-1-1,4.0,2.92,11194,11194,660,592,140029,69841
1,1,1,2,2,2,full-stencil2d-outer:machsuite-md-knn-0-0-0-1-1-1,4.0,2.92,11194,11194,648,592,140037,68152
2,4,4,4,1,8,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-0-7,4.0,2.92,10688,10688,522,1184,199971,124194
4,2,4,1,1,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-0-0-1,4.0,2.92,12218,12218,378,296,72346,38198
2,1,1,4,1,4,full-stencil2d-outer:machsuite-md-knn-1-0-0-3-0-3,4.0,2.92,10688,10688,360,1184,199799,121783
4,4,1,1,1,1,full-stencil2d-outer:machsuite-md-knn-3-3-0-0-0-0,4.0,2.92,12218,12218,387,296,72193,36952
4,2,2,1,4,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-0-3-0,4.0,3.173,11186,11186,1084,592,189195,75385
2,2,1,2,2,2,full-stencil2d-outer:machsuite-md-knn-1-1-0-1-1-1,4.0,2.92,11194,11194,648,592,140044,68606
4,4,4,2,2,2,full-stencil2d-outer:machsuite-md-knn-3-3-3-1-1-1,4.0,2.92,10686,10686,720,1184,225266,129121
1,2,4,4,1,1,full-stencil2d-outer:machsuite-md-knn-0-1-3-3-0-0,4.0,2.92,10688,10688,504,1184,199940,124110
1,4,1,2,2,1,full-stencil2d-outer:machsuite-md-knn-0-3-0-1-1-0,4.0,2.92,11194,11194,660,592,140127,68820
2,4,2,4,2,4,full-stencil2d-outer:machsuite-md-knn-1-3-1-3-1-3,4.0,2.92,10432,10432,708,2368,395052,239083
4,1,2,2,2,1,full-stencil2d-outer:machsuite-md-knn-3-0-1-1-1-0,4.0,2.92,10686,10686,660,1184,225166,125895
1,2,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-0-1-3-1-0-3,4.0,2.92,11198,11198,408,592,114962,67221
4,2,2,1,2,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-0-1-0,4.0,2.92,11194,11194,660,592,140106,68651
2,1,1,1,1,1,full-stencil2d-outer:machsuite-md-knn-1-0-0-0-0-0,4.0,2.92,12218,12218,357,296,72157,36709
2,4,2,4,4,1,full-stencil2d-outer:machsuite-md-knn-1-3-1-3-3-0,4.0,2.92,10430,10430,1284,2368,445691,246701
1,4,4,4,2,4,full-stencil2d-outer:machsuite-md-knn-0-3-3-3-1-3,4.0,2.92,10432,10432,804,2368,395042,243461
2,1,2,2,2,2,full-stencil2d-outer:machsuite-md-knn-1-0-1-1-1-1,4.0,2.92,10686,10686,648,1184,225100,125797
4,4,2,4,4,4,full-stencil2d-outer:machsuite-md-knn-3-3-1-3-3-3,4.0,2.92,10430,10430,1284,2368,445621,246525
4,2,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-0-0,4.0,2.92,10688,10688,426,1184,199951,124180
2,2,2,2,1,1,full-stencil2d-outer:machsuite-md-knn-1-1-1-1-0-0,4.0,2.92,11198,11198,366,592,115325,67755
4,2,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-0-1-1,4.0,2.92,11194,11194,660,592,140107,70117
1,1,1,2,2,1,full-stencil2d-outer:machsuite-md-knn-0-0-0-1-1-0,4.0,2.92,11194,11194,648,592,140037,68152
4,2,2,2,1,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-1-0-0,4.0,2.92,11198,11198,378,592,114973,67067
1,2,2,1,2,2,full-stencil2d-outer:machsuite-md-knn-0-1-1-0-1-1,4.0,2.92,11194,11194,648,592,140031,68391
4,2,1,4,2,1,full-stencil2d-outer:machsuite-md-knn-3-1-0-3-1-0,4.0,2.92,10686,10686,660,1184,225179,126133
4,2,2,4,4,2,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-3-1,4.0,2.92,10430,10430,1284,2368,445600,246537
2,4,2,4,1,2,full-stencil2d-outer:machsuite-md-knn-1-3-1-3-0-1,4.0,2.92,10688,10688,426,1184,199972,124078
2,2,2,4,1,2,full-stencil2d-outer:machsuite-md-knn-1-1-1-3-0-1,4.0,2.92,10688,10688,414,1184,200303,124868
4,2,4,4,1,4,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-0-3,4.0,2.92,10688,10688,522,1184,199952,124296
4,2,4,4,4,1,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-3-0,4.0,2.92,10304,10304,1380,4736,785190,471862
4,2,2,4,2,8,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-1-7,4.0,2.92,10432,10432,708,2368,395095,238797
2,4,4,4,2,4,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-1-3,4.0,2.92,10432,10432,804,2368,395051,243687
4,4,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-3-3-1-3-0-0,4.0,2.92,10688,10688,438,1184,199972,124030
2,2,4,4,4,1,full-stencil2d-outer:machsuite-md-knn-1-1-3-3-3-0,4.0,2.92,10304,10304,1380,4736,785260,472038
2,2,2,4,2,8,full-stencil2d-outer:machsuite-md-knn-1-1-1-3-1-7,4.0,2.92,10432,10432,696,2368,395029,238699
4,2,4,2,2,1,full-stencil2d-outer:machsuite-md-knn-3-1-3-1-1-0,4.0,2.92,10686,10686,708,1184,225245,128755
4,1,1,1,2,1,full-stencil2d-outer:machsuite-md-knn-3-0-0-0-1-0,4.0,3.173,12210,12210,581,296,96730,40163
4,4,1,4,1,2,full-stencil2d-outer:machsuite-md-knn-3-3-0-3-0-1,4.0,2.92,10688,10688,390,1184,199899,122058
4,2,4,2,4,4,full-stencil2d-outer:machsuite-md-knn-3-1-3-1-3-3,4.0,2.92,10430,10430,1284,2368,445593,246550
1,1,2,2,1,2,full-stencil2d-outer:machsuite-md-knn-0-0-1-1-0-1,4.0,2.92,11198,11198,354,592,114893,66408
4,2,2,2,2,4,full-stencil2d-outer:machsuite-md-knn-3-1-1-1-1-3,4.0,2.92,10686,10686,660,1184,225244,126171
2,4,4,4,4,2,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-3-1,4.0,2.92,10304,10304,1380,4736,785282,472026
2,4,2,2,2,4,full-stencil2d-outer:machsuite-md-knn-1-3-1-1-1-3,4.0,2.92,10686,10686,660,1184,225201,126457
1,4,4,4,1,4,full-stencil2d-outer:machsuite-md-knn-0-3-3-3-0-3,4.0,2.92,10688,10688,516,1184,199961,123960
2,4,2,4,4,4,full-stencil2d-outer:machsuite-md-knn-1-3-1-3-3-3,4.0,2.92,10430,10430,1284,2368,445691,246701
2,4,4,1,4,2,full-stencil2d-outer:machsuite-md-knn-1-3-3-0-3-1,4.0,2.92,10682,10682,1236,1184,275527,131770
4,4,1,2,1,2,full-stencil2d-outer:machsuite-md-knn-3-3-0-1-0-1,4.0,2.92,11198,11198,390,592,114921,65777
4,4,2,2,4,2,full-stencil2d-outer:machsuite-md-knn-3-3-1-1-3-1,4.0,2.92,10682,10682,1236,1184,275532,131672
1,1,1,4,1,1,full-stencil2d-outer:machsuite-md-knn-0-0-0-3-0-0,4.0,2.92,10688,10688,354,1184,199798,121549
1,1,1,4,1,8,full-stencil2d-outer:machsuite-md-knn-0-0-0-3-0-7,4.0,2.92,10688,10688,354,1184,199798,121549
2,4,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-1-3-1-3-0-0,4.0,2.92,10688,10688,426,1184,199972,124078
4,2,2,4,2,4,full-stencil2d-outer:machsuite-md-knn-3-1-1-3-1-3,4.0,2.92,10432,10432,708,2368,395095,238797
1,4,1,4,2,4,full-stencil2d-outer:machsuite-md-knn-0-3-0-3-1-3,4.0,2.92,10686,10686,660,1184,225196,126313
2,4,4,4,1,4,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-0-3,4.0,2.92,10688,10688,522,1184,199971,124194
2,2,2,2,2,4,full-stencil2d-outer:machsuite-md-knn-1-1-1-1-1-3,4.0,2.92,10686,10686,648,1184,225178,126073
4,2,4,2,1,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-1-0-1,4.0,2.92,11198,11198,426,592,114974,67407
1,4,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-0-3-3-0-1-1,4.0,2.92,11194,11194,660,592,140053,70241
4,2,4,4,1,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-0-1,4.0,2.92,10688,10688,522,1184,199952,124296
1,1,2,4,2,1,full-stencil2d-outer:machsuite-md-knn-0-0-1-3-1-0,4.0,2.92,10432,10432,696,2368,395022,238317
4,2,4,1,4,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-0-3-1,4.0,2.92,10682,10682,1236,1184,275435,131670
1,2,1,1,1,1,full-stencil2d-outer:machsuite-md-knn-0-1-0-0-0-0,4.0,2.92,12218,12218,357,296,72161,36916
4,1,2,2,2,2,full-stencil2d-outer:machsuite-md-knn-3-0-1-1-1-1,4.0,2.92,10686,10686,660,1184,225166,125895
