seqa_bank,seqb_bank,ptr_bank1,ptr_bank2,m_bank1,m_bank2,unrolla,unrollb,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
2,2,2,2,2,4,4,2,nw-estimate::machsuite-nw-1-1-1-1-1-2-2-1,4.0,3.068,54728,60160,84,0,5421,11283
2,2,4,4,2,1,2,2,nw-estimate::machsuite-nw-1-1-2-2-1-0-1-1,4.0,2.92,66922,72354,66,0,4686,9956
2,1,4,2,2,2,4,2,nw-estimate::machsuite-nw-1-0-2-1-1-1-2-1,4.0,3.035,54728,60160,71,0,5591,11188
4,1,2,4,2,1,2,2,nw-estimate::machsuite-nw-2-0-1-2-1-0-1-1,4.0,2.92,66922,72354,67,0,4567,9606
2,2,4,4,2,4,4,2,nw-estimate::machsuite-nw-1-1-2-2-1-2-2-1,4.0,3.035,54728,60160,84,0,5534,11510
4,4,2,4,2,4,4,2,nw-estimate::machsuite-nw-2-2-1-2-1-2-2-1,4.0,3.035,54728,60160,88,0,5375,11078
2,4,4,2,4,4,4,4,nw-estimate::machsuite-nw-1-2-2-1-2-2-2-2,4.0,3.035,54662,60094,94,0,6715,15537
2,4,2,2,1,4,4,2,nw-estimate::machsuite-nw-1-2-1-1-0-2-2-1,4.0,3.068,54728,60160,74,0,5253,11299
2,2,1,2,1,2,2,2,nw-estimate::machsuite-nw-1-1-0-1-0-1-1-1,4.0,2.92,66922,72354,62,0,4542,8947
1,2,4,1,4,2,2,4,nw-estimate::machsuite-nw-0-1-2-0-2-1-1-2,4.0,2.92,66856,72288,83,0,5327,11369
4,4,1,2,2,1,2,2,nw-estimate::machsuite-nw-2-2-0-1-1-0-1-1,4.0,2.92,66922,72354,66,0,4624,9445
1,2,2,4,4,1,2,4,nw-estimate::machsuite-nw-0-1-1-2-2-0-1-2,4.0,2.92,66856,72288,71,0,5016,11625
4,4,4,4,4,4,4,4,nw-estimate::machsuite-nw-2-2-2-2-2-2-2-2,4.0,3.035,54662,60094,96,0,6669,14932
4,2,4,2,2,4,4,2,nw-estimate::machsuite-nw-2-1-2-1-1-2-2-1,4.0,3.035,54728,60160,86,0,5518,11532
4,1,4,2,1,2,2,2,nw-estimate::machsuite-nw-2-0-2-1-0-1-1-1,4.0,2.92,66922,72354,67,0,4684,9496
4,2,1,4,2,4,4,2,nw-estimate::machsuite-nw-2-1-0-2-1-2-2-1,4.0,3.035,54728,60160,86,0,5371,11085
1,4,1,4,1,2,2,2,nw-estimate::machsuite-nw-0-2-0-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4556,9518
2,4,1,4,2,4,4,2,nw-estimate::machsuite-nw-1-2-0-2-1-2-2-1,4.0,3.035,54728,60160,86,0,5350,11136
4,4,2,1,2,1,2,2,nw-estimate::machsuite-nw-2-2-1-0-1-0-1-1,4.0,2.92,66922,72354,66,0,4611,9211
2,1,4,2,2,4,4,2,nw-estimate::machsuite-nw-1-0-2-1-1-2-2-1,4.0,3.035,54728,60160,83,0,5519,11536
2,4,2,4,4,2,2,4,nw-estimate::machsuite-nw-1-2-1-2-2-1-1-2,4.0,2.92,66856,72288,86,0,5379,11931
2,2,2,4,2,4,4,2,nw-estimate::machsuite-nw-1-1-1-2-1-2-2-1,4.0,3.035,54728,60160,84,0,5292,10869
2,1,4,2,2,1,2,2,nw-estimate::machsuite-nw-1-0-2-1-1-0-1-1,4.0,2.92,66922,72354,65,0,4700,9506
2,4,4,2,2,1,2,2,nw-estimate::machsuite-nw-1-2-2-1-1-0-1-1,4.0,2.92,66922,72354,68,0,4682,9595
4,1,2,2,1,2,2,2,nw-estimate::machsuite-nw-2-0-1-1-0-1-1-1,4.0,3.068,66922,72354,67,0,4668,9385
2,1,4,4,1,4,4,2,nw-estimate::machsuite-nw-1-0-2-2-0-2-2-1,4.0,3.035,54728,60160,71,0,5225,11288
2,2,2,4,4,2,4,4,nw-estimate::machsuite-nw-1-1-1-2-2-1-2-2,4.0,3.035,54662,60094,84,0,6767,15187
4,1,1,4,2,4,4,2,nw-estimate::machsuite-nw-2-0-0-2-1-2-2-1,4.0,3.035,54728,60160,85,0,5375,11055
4,1,4,2,1,4,4,2,nw-estimate::machsuite-nw-2-0-2-1-0-2-2-1,4.0,3.035,54728,60160,73,0,5291,11342
4,2,4,1,2,1,2,2,nw-estimate::machsuite-nw-2-1-2-0-1-0-1-1,4.0,2.92,66922,72354,68,0,4695,9416
4,1,1,4,1,4,4,2,nw-estimate::machsuite-nw-2-0-0-2-0-2-2-1,4.0,3.035,54728,60160,73,0,5124,10587
1,4,1,4,2,2,2,2,nw-estimate::machsuite-nw-0-2-0-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4701,9490
4,4,4,2,4,4,4,4,nw-estimate::machsuite-nw-2-2-2-1-2-2-2-2,4.0,3.035,54662,60094,96,0,6795,15447
2,4,2,4,2,1,2,2,nw-estimate::machsuite-nw-1-2-1-2-1-0-1-1,4.0,2.92,66922,72354,68,0,4528,9599
2,4,4,2,2,4,4,2,nw-estimate::machsuite-nw-1-2-2-1-1-2-2-1,4.0,3.035,54728,60160,86,0,5501,11647
4,4,2,4,1,4,4,2,nw-estimate::machsuite-nw-2-2-1-2-0-2-2-1,4.0,3.035,54728,60160,76,0,5212,11218
4,2,1,2,2,1,2,2,nw-estimate::machsuite-nw-2-1-0-1-1-0-1-1,4.0,2.92,66922,72354,64,0,4567,9299
2,2,2,4,1,2,2,2,nw-estimate::machsuite-nw-1-1-1-2-0-1-1-1,4.0,2.92,66922,72354,66,0,4702,9613
2,2,2,2,4,2,2,4,nw-estimate::machsuite-nw-1-1-1-1-2-1-1-2,4.0,3.068,66856,72288,84,0,5377,11353
2,2,2,2,1,4,4,2,nw-estimate::machsuite-nw-1-1-1-1-0-2-2-1,4.0,3.068,54728,60160,72,0,5248,11185
1,1,4,4,2,1,2,2,nw-estimate::machsuite-nw-0-0-2-2-1-0-1-1,4.0,2.92,66922,72354,64,0,4652,9847
4,4,4,1,2,2,2,4,nw-estimate::machsuite-nw-2-2-2-0-1-1-1-2,4.0,2.92,66856,72288,76,0,5333,11559
2,4,4,2,2,2,2,4,nw-estimate::machsuite-nw-1-2-2-1-1-1-1-2,4.0,2.92,66856,72288,74,0,5175,11339
4,4,4,4,4,1,2,4,nw-estimate::machsuite-nw-2-2-2-2-2-0-1-2,4.0,2.92,66856,72288,76,0,5127,12252
1,4,2,1,2,2,2,2,nw-estimate::machsuite-nw-0-2-1-0-1-1-1-1,4.0,2.92,66922,72354,69,0,4699,9259
1,4,4,2,1,2,2,2,nw-estimate::machsuite-nw-0-2-2-1-0-1-1-1,4.0,2.92,66922,72354,67,0,4632,9455
1,1,2,1,2,2,2,2,nw-estimate::machsuite-nw-0-0-1-0-1-1-1-1,4.0,2.92,66922,72354,66,0,4738,9139
2,4,1,2,2,1,2,2,nw-estimate::machsuite-nw-1-2-0-1-1-0-1-1,4.0,2.92,66922,72354,64,0,4545,9293
4,2,2,4,2,1,2,2,nw-estimate::machsuite-nw-2-1-1-2-1-0-1-1,4.0,2.92,66922,72354,68,0,4533,9592
1,1,1,2,1,2,2,2,nw-estimate::machsuite-nw-0-0-0-1-0-1-1-1,4.0,2.92,66922,72354,60,0,4560,8907
1,4,1,4,2,1,2,2,nw-estimate::machsuite-nw-0-2-0-2-1-0-1-1,4.0,2.92,66922,72354,67,0,4481,9355
2,1,4,4,2,2,2,2,nw-estimate::machsuite-nw-1-0-2-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4818,9952
4,1,2,4,1,2,2,2,nw-estimate::machsuite-nw-2-0-1-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4760,9704
4,2,2,2,4,1,2,4,nw-estimate::machsuite-nw-2-1-1-1-2-0-1-2,4.0,3.068,66856,72288,74,0,5160,11709
2,2,4,1,1,2,2,2,nw-estimate::machsuite-nw-1-1-2-0-0-1-1-1,4.0,2.92,66922,72354,66,0,4761,9362
