bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-2-2-1-1-3-4-4,3,3,2,2,6,8,8,4.0,2.92,270870,270870,106,1574,141265,50122,32778,221696,16391
gemm-dse:gemm-1-0-2-2-1-4-4,2,1,3,3,2,8,8,4.0,2.92,573485,573485,98,298,29700,22954,32778,524300,16401
gemm-dse:gemm-0-0-2-2-3-1-1,1,1,3,3,6,2,2,4.0,2.92,342570,342570,96,968,75522,34047,32778,293386,16401
gemm-dse:gemm-1-2-2-0-1-3-0,2,3,3,1,2,6,1,4.0,2.92,32096288,32096288,122,122,23739,19282,32778,32047104,16401
gemm-dse:gemm-1-3-2-2-4-3-0,2,4,3,3,8,6,1,4.0,2.92,28139552,28139552,102,386,65163,60094,32778,28090368,16401
gemm-dse:gemm-1-0-3-2-1-0-3,2,1,4,3,2,1,6,4.0,2.92,1687583,1687583,110,66,9496,6236,32777,1638400,16401
gemm-dse:gemm-3-1-1-2-4-3-0,4,2,2,3,8,6,1,4.0,2.92,27807774,27807774,108,386,57266,43599,32777,27758592,16400
gemm-dse:gemm-1-1-2-1-3-1-4,2,2,3,2,6,2,8,4.0,2.92,171039,171039,108,1280,92938,32024,32777,121856,16401
gemm-dse:gemm-1-1-3-0-0-2-3,2,2,4,1,1,4,6,4.0,2.92,835605,835605,98,192,16484,7770,32776,786432,16391
gemm-dse:gemm-1-0-0-1-3-0-3,2,1,1,2,6,1,6,4.0,2.92,1648660,1648660,92,64,8117,5887,32776,1599488,16391
gemm-dse:gemm-0-2-3-1-4-4-0,1,3,4,2,8,8,1,4.0,2.92,10317844,10317844,106,386,60533,35130,32777,10268672,16390
gemm-dse:gemm-0-0-1-3-2-0-1,1,1,2,4,4,1,2,4.0,2.92,2383891,2383891,92,16,4016,4411,32776,2334720,16390
gemm-dse:gemm-1-0-3-0-0-4-4,2,1,4,1,1,8,8,4.0,2.92,1327125,1327125,94,84,9112,6012,32776,1277952,16391
gemm-dse:gemm-3-3-1-0-3-0-3,4,4,2,1,6,1,6,4.0,2.92,833556,833556,96,192,19683,10010,32776,784384,16391
gemm-dse:gemm-0-0-1-3-4-0-2,1,1,2,4,8,1,4,4.0,2.92,2379795,2379795,92,16,4873,5824,32776,2330624,16390
gemm-dse:gemm-1-3-0-3-1-1-1,2,4,1,4,2,2,2,4.0,2.92,180252,180252,98,384,30654,13708,32776,131079,16391
gemm-dse:gemm-3-3-0-0-4-3-4,4,4,1,1,8,6,8,4.0,2.92,573586,573586,95,2048,143467,48254,32776,524413,16391
gemm-dse:gemm-2-2-1-3-2-1-0,3,3,2,4,4,2,1,4.0,2.92,13271061,13271061,106,50,10994,12291,32778,13221888,16390
gemm-dse:gemm-2-2-1-2-0-4-3,3,3,2,3,1,8,6,4.0,2.92,1097802,1097802,116,262,55347,71033,32778,1048618,16400
gemm-dse:gemm-2-1-3-2-2-3-1,3,2,4,3,4,6,2,4.0,2.92,180281,180281,134,1026,81875,44506,32778,131096,16401
gemm-dse:gemm-2-2-1-1-2-4-4,3,3,2,2,4,8,8,4.0,2.92,573490,573490,106,1026,83666,47620,32778,524315,16391
gemm-dse:gemm-0-1-2-0-0-3-2,1,2,3,1,1,6,4,4.0,2.92,1097767,1097767,98,68,10097,12893,32777,1048583,16401
gemm-dse:gemm-3-0-1-2-0-0-3,4,1,2,3,1,1,6,4.0,2.92,2146341,2146341,108,36,5927,5037,32777,2097158,16400
gemm-dse:gemm-2-1-1-1-3-0-2,3,2,2,2,6,1,4,4.0,2.92,2025493,2025493,118,216,24532,21589,32777,1976320,16391
gemm-dse:gemm-2-3-3-1-3-2-3,3,4,4,2,6,4,6,4.0,2.92,225556,225556,130,1560,116066,42744,32777,176384,16390
gemm-dse:gemm-2-2-0-0-3-2-2,3,3,1,1,6,4,4,4.0,2.92,599062,599062,103,1574,138621,50421,32778,549888,16391
gemm-dse:gemm-2-3-3-1-0-3-1,3,4,4,2,1,6,2,4.0,2.92,376868,376868,130,256,23964,12680,32777,327695,16390
gemm-dse:gemm-3-3-2-1-2-3-0,4,4,3,2,4,6,1,4.0,2.92,12025887,12025887,108,96,14545,17289,32777,11976704,16401
gemm-dse:gemm-2-2-3-0-0-0-0,3,3,4,1,1,1,1,4.0,2.92,6340646,6340646,106,10,4958,4769,32778,6291471,16391
gemm-dse:gemm-3-2-3-0-4-1-2,4,3,4,1,8,2,4,4.0,2.92,180304,180304,130,2050,155540,73421,32777,131130,16391
gemm-dse:gemm-1-2-0-2-3-3-3,2,3,1,3,6,6,6,4.0,2.92,346153,346153,122,1564,118847,54224,32777,296970,16401
