status,resource2,est_avg_lat,est_lut,unroll,resource1,est_ff,est_bram,est_dsp,est_min_lat,bench,bank1,bank2,est_max_lat
ok,RAM_T2P_BRAM,23564,2628,4,RAM_1P_BRAM,2957,20,16,23564,test:dot-product-0-0-3-0-1,1,1,23564
ok,RAM_1P_BRAM,12319,5191,24,RAM_T2P_BRAM,9445,20,96,12319,test:dot-product-1-0-14-1-0,2,1,12319
ok,RAM_T2P_BRAM,12322,5344,24,RAM_1P_BRAM,9102,24,120,12322,test:dot-product-0-2-14-0-1,1,3,12322
ok,RAM_T2P_BRAM,9284,19264,36,RAM_T2P_BRAM,40753,22,288,9284,test:dot-product-4-1-17-1-1,5,2,9284
ok,RAM_T2P_BRAM,10717,6022,5,RAM_1P_BRAM,9570,26,60,10717,test:dot-product-2-4-4-0-1,3,5,10717
ok,RAM_T2P_BRAM,9362,5086,18,RAM_1P_BRAM,8008,20,72,9362,test:dot-product-3-1-12-0-1,4,2,9362
ok,RAM_T2P_BRAM,9592,3198,6,RAM_T2P_BRAM,4095,24,30,9592,test:dot-product-1-5-5-1-1,2,6,9592
ok,RAM_1P_BRAM,9592,4287,15,RAM_T2P_BRAM,7029,28,75,9592,test:dot-product-2-2-10-1-0,3,3,9592
ok,RAM_T2P_BRAM,12600,4715,15,RAM_T2P_BRAM,7022,22,75,12600,test:dot-product-3-4-10-1-1,4,5,12600
ok,RAM_T2P_BRAM,9455,3691,10,RAM_1P_BRAM,5446,22,50,9455,test:dot-product-4-1-8-0-1,5,2,9455
ok,RAM_1P_BRAM,23583,5708,4,RAM_1P_BRAM,7055,28,20,23583,test:dot-product-5-2-3-0-0,6,3,23583
ok,RAM_T2P_BRAM,10390,12930,25,RAM_1P_BRAM,27356,24,200,10390,test:dot-product-1-5-15-0-1,2,6,10390
ok,RAM_1P_BRAM,9049,8993,30,RAM_T2P_BRAM,22996,22,240,9049,test:dot-product-3-4-16-1-0,4,5,9049
ok,RAM_T2P_BRAM,8910,5591,24,RAM_T2P_BRAM,10437,28,120,8910,test:dot-product-5-2-14-1-1,6,3,8910
ok,RAM_1P_BRAM,9626,14226,12,RAM_T2P_BRAM,23896,26,144,9626,test:dot-product-4-2-9-1-0,5,3,9626
ok,RAM_1P_BRAM,23579,4254,4,RAM_T2P_BRAM,4979,22,20,23579,test:dot-product-0-4-3-1-0,1,5,23579
ok,RAM_1P_BRAM,10413,5569,15,RAM_T2P_BRAM,12160,24,120,10413,test:dot-product-2-1-10-1-0,3,2,10413
ok,RAM_T2P_BRAM,12319,6224,25,RAM_1P_BRAM,10918,20,100,12319,test:dot-product-0-1-15-0-1,1,2,12319
ok,RAM_1P_BRAM,38937,3323,2,RAM_1P_BRAM,3386,22,10,38937,test:dot-product-0-4-1-0-0,1,5,38937
ok,RAM_T2P_BRAM,12319,5081,24,RAM_1P_BRAM,8732,20,88,12319,test:dot-product-0-0-14-0-1,1,1,12319
ok,RAM_1P_BRAM,12326,15022,16,RAM_T2P_BRAM,22053,26,96,12326,test:dot-product-4-2-11-1-0,5,3,12326
ok,RAM_1P_BRAM,69644,2733,1,RAM_T2P_BRAM,2390,24,4,69644,test:dot-product-3-2-0-1-0,4,3,69644
ok,RAM_T2P_BRAM,9283,22285,20,RAM_T2P_BRAM,41373,28,160,9283,test:dot-product-5-2-13-1-1,6,3,9283
ok,RAM_1P_BRAM,10271,6606,36,RAM_T2P_BRAM,13508,20,144,10271,test:dot-product-3-1-17-1-0,4,2,10271
ok,RAM_1P_BRAM,10271,3426,10,RAM_T2P_BRAM,5088,20,40,10271,test:dot-product-1-1-8-1-0,2,2,10271
ok,RAM_1P_BRAM,9624,8268,6,RAM_T2P_BRAM,14913,26,72,9624,test:dot-product-4-2-5-1-0,5,3,9624
ok,RAM_1P_BRAM,69644,2777,1,RAM_T2P_BRAM,2391,22,4,69644,test:dot-product-4-3-0-1-0,5,4,69644
ok,RAM_1P_BRAM,38939,4226,2,RAM_1P_BRAM,4616,26,12,38939,test:dot-product-5-4-1-0-0,6,5,38939
ok,RAM_1P_BRAM,38937,3323,2,RAM_T2P_BRAM,3464,24,10,38937,test:dot-product-5-1-1-1-0,6,2,38937
ok,RAM_T2P_BRAM,9284,14799,12,RAM_T2P_BRAM,22185,24,96,9284,test:dot-product-4-4-9-1-1,5,5,9284
ok,RAM_1P_BRAM,10307,12647,10,RAM_1P_BRAM,20770,28,80,10307,test:dot-product-2-5-8-0-0,3,6,10307
ok,RAM_T2P_BRAM,9248,4637,20,RAM_T2P_BRAM,8572,20,80,9248,test:dot-product-3-1-13-1-1,4,2,9248
ok,RAM_1P_BRAM,12322,3626,10,RAM_T2P_BRAM,5106,22,50,12322,test:dot-product-4-0-8-1-0,5,1,12322
ok,RAM_T2P_BRAM,12063,9373,16,RAM_1P_BRAM,14619,24,80,12063,test:dot-product-1-2-11-0-1,2,3,12063
ok,RAM_T2P_BRAM,9455,3685,10,RAM_T2P_BRAM,5436,22,50,9455,test:dot-product-1-4-8-1-1,2,5,9455
ok,RAM_1P_BRAM,10272,3655,12,RAM_T2P_BRAM,5938,20,48,10272,test:dot-product-1-1-9-1-0,2,2,10272
ok,RAM_T2P_BRAM,10275,4857,20,RAM_1P_BRAM,8382,22,100,10275,test:dot-product-4-0-13-0-1,5,1,10275
ok,RAM_T2P_BRAM,10274,3163,6,RAM_1P_BRAM,4081,24,30,10274,test:dot-product-1-2-5-0-1,2,3,10274
ok,RAM_T2P_BRAM,8912,9204,30,RAM_T2P_BRAM,23242,22,240,8912,test:dot-product-4-3-16-1-1,5,4,8912
