status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,10309,13982,test:dot-product-6-0-9-0-1,12,26,1,10309,96,RAM_1P_BRAM,RAM_T2P_BRAM,10309,19928,7
ok,23579,4340,test:dot-product-4-3-3-0-1,4,22,4,23579,20,RAM_1P_BRAM,RAM_T2P_BRAM,23579,5111,5
ok,38936,3562,test:dot-product-3-2-1-0-1,2,24,3,38936,10,RAM_1P_BRAM,RAM_T2P_BRAM,38936,3691,4
ok,9078,15684,test:dot-product-2-6-15-1-1,25,30,7,9078,300,RAM_T2P_BRAM,RAM_T2P_BRAM,9078,39339,3
ok,10308,20145,test:dot-product-0-6-17-1-0,36,26,7,10308,288,RAM_T2P_BRAM,RAM_1P_BRAM,10308,37251,1
ok,23583,5708,test:dot-product-5-2-3-1-1,4,28,3,23583,20,RAM_T2P_BRAM,RAM_T2P_BRAM,23583,7055,6
ok,10353,6518,test:dot-product-1-1-15-0-0,25,20,2,10353,100,RAM_1P_BRAM,RAM_1P_BRAM,10353,10224,2
ok,9283,14501,test:dot-product-3-5-13-0-1,20,24,6,9283,160,RAM_1P_BRAM,RAM_T2P_BRAM,9283,28919,4
ok,21323,3285,test:dot-product-7-0-4-0-1,5,20,1,21323,20,RAM_1P_BRAM,RAM_T2P_BRAM,21323,3676,8
ok,9515,22285,test:dot-product-4-7-17-0-1,36,30,8,9515,288,RAM_1P_BRAM,RAM_T2P_BRAM,9515,42126,5
ok,8796,6942,test:dot-product-3-5-17-1-1,36,24,6,8796,180,RAM_T2P_BRAM,RAM_T2P_BRAM,8796,14121,4
ok,10835,6593,test:dot-product-3-3-15-1-1,25,20,4,10835,100,RAM_T2P_BRAM,RAM_T2P_BRAM,10835,11809,4
ok,9079,24597,test:dot-product-6-5-13-1-1,20,30,6,9079,240,RAM_T2P_BRAM,RAM_T2P_BRAM,9079,48440,7
ok,10271,3175,test:dot-product-3-1-5-1-0,6,20,2,10271,24,RAM_T2P_BRAM,RAM_1P_BRAM,10271,3908,4
ok,9452,9155,test:dot-product-3-7-16-0-1,30,28,8,9452,120,RAM_1P_BRAM,RAM_T2P_BRAM,9452,12929,4
ok,9626,22452,test:dot-product-2-6-17-0-1,36,30,7,9626,432,RAM_1P_BRAM,RAM_T2P_BRAM,9626,47860,3
ok,12311,4010,test:dot-product-0-0-11-0-1,16,20,1,12311,64,RAM_1P_BRAM,RAM_T2P_BRAM,12311,7047,1
ok,9247,5140,test:dot-product-1-7-14-1-1,24,28,8,9247,96,RAM_T2P_BRAM,RAM_T2P_BRAM,9247,9890,2
ok,12326,15022,test:dot-product-2-4-11-0-1,16,26,5,12326,96,RAM_1P_BRAM,RAM_T2P_BRAM,12326,22053,3
ok,10274,6159,test:dot-product-1-4-16-0-1,30,22,5,10274,150,RAM_1P_BRAM,RAM_T2P_BRAM,10274,11270,2
ok,12048,3931,test:dot-product-1-1-11-1-0,16,20,2,12048,64,RAM_T2P_BRAM,RAM_1P_BRAM,12048,6970,2
ok,9899,8727,test:dot-product-5-2-4-0-1,5,28,3,9899,40,RAM_1P_BRAM,RAM_T2P_BRAM,9899,12094,6
ok,12362,6097,test:dot-product-5-0-4-0-0,5,24,1,12362,40,RAM_1P_BRAM,RAM_1P_BRAM,12362,8161,6
